键码=,.'abcdefghijklmnopqrstuvwxyz[]
码长=5
[数据]
,dolr $
,cen ¢
,les £
,bob ¤
,yenv ¥
,ss §
,.. ¨
,ocb ©
,,,v «
,orc ®
,o °
,je ±
,muer µ
,.b ·
,..r »
,epf ¼
,epr ½
,spf ¾
,xv ×
,nar à
,pas á
,ne è
,pe é
,nev ê
,ni ì
,piw í
,nov ò
,pov ó
..w ÷
,nus ù
,puv ú
,..u ü
,ea ā
,eec ē
,vef ě
,eil ī
,pn ń
,vn ň
,eo ō
,eu ū
,vav ǎ
,vis ǐ
,vo ǒ
,vu ǔ
,p.. ǘ
,v.. ǚ
,n.. ǜ
,a ɑ
,g ɡ
,eiv ˆ
,ssv ˇ
,eef ˉ
,rs ˊ
,fs ˋ
,cs ˙
,alp Α
,bet Β
,gam Γ
,del Δ
,epsv Ε
,zet Ζ
,eta Η
,the Θ
,iot Ι
,kap Κ
,lam Λ
,mur Μ
,nuv Ν
,xif Ξ
,omiv Ο
,pif Π
,rho Ρ
,sig Σ
,tau Τ
,ups Υ
,phi Φ
,chir Χ
,psi Ψ
,omg Ω
,a α
,b β
,g γ
,d δ
,e ε
,zetv ζ
,etav η
,qv θ
,iotv ι
,kapv κ
,ls λ
,mue μ
,nur ν
,esv ξ
,omir ο
,erv π
,rhov ρ
,sigv σ
,elv τ
,upsv υ
,phiv φ
,chis χ
,psiv ψ
,ws ω
,bes Ё
,af А
,bev Б
,ver В
,des Д
,ie Е
,zhe Ж
,zev З
,n И
,sii Й
,kar К
,elr Л
,em М
,en Н
,o О
,pev П
,ers Р
,esr С
,te Т
,u У
,efk Ф
,kha Х
,tse Ц
,cher Ч
,sha Ш
,shev Щ
,sigr Ъ
,yer Ы
,ssi Ь
,re Э
,iuv Ю
,ia Я
,aw а
,ber б
,ves в
,def д
,iev е
,zhev ж
,zer з
,n и
,siiv й
,kas к
,els л
,emv м
,enr н
,o о
,per п
,erf р
,ess с
,tev т
,uc у
,ef ф
,khav х
,tsev ц
,ches ч
,shav ш
,shc щ
,sigs ъ
,yerv ы
,ssiv ь
,e э
,iur ю
,iav я
,..ev ё
,bah ฿
,ew –
,eew —
,rif ‖
,,w ‘
,''f ’
,,b “
,,vv ”
..v ‥
... …
,.v ‧
,opor ‰
,'s ′
,pps ″
,'r ‵
,xf ※
,eurv ₠
,cmv ₡
,cru ₢
,fra ₣
,lir ₤
,milv ₥
,nai ₦
,pes ₧
,res ₨
,won ₩
,she ₪
,don ₫
,eur €
,kip ₭
,tpp ₮
,dpv ₯
,apc ℀
,aps ℁
,ccv ℂ
,ocw ℃
,cl ℄
,cpo ℅
,cpu ℆
,ofw ℉
,noe №
,tel ℡
,eps ⅓
,rps ⅔
,epw ⅕
,rpw ⅖
,spw ⅗
,fpw ⅘
,epl ⅙
,wpl ⅚
,epb ⅛
,spb ⅜
,wpb ⅝
,cpb ⅞
,ep ⅟
,ev Ⅰ
,rv Ⅱ
,s Ⅲ
,fv Ⅳ
,wv Ⅴ
,lv Ⅵ
,cv Ⅶ
,bv Ⅷ
,k Ⅸ
,j Ⅹ
,jev Ⅺ
,jr Ⅻ
,eb ⅰ
,rb ⅱ
,sc ⅲ
,ff ⅳ
,ww ⅴ
,l ⅵ
,c ⅶ
,bw ⅷ
v[v ⅸ
v]v ⅹ
,jer ⅺ
,jrv ⅻ
,oir ↀ
,dcv ↁ
,oci ↂ
,ze ←
,zi ↑
,ez →
,iz ↓
,zez ↔
,zb ↖
,zc ↗
,nz ↘
,pz ↙
,zx ↚
,xz ↛
,zs ↜
,sz ↝
,zze ↞
,zzi ↟
,ezz ↠
,izz ↡
,zezv ↢
,zezr ↣
,zei ↤
,zie ↥
,iez ↦
,tzv ↧
,ziz ↨
,zlr ↩
,lz ↪
,zj ↫
,jz ↬
,zsz ↭
,zxz ↮
,nzv ↯
,all ∀
,xxw ∃
,ops ∅
,sn ∆
,e ∈
,eir ∉
,pro ∏
,sum ∑
,ej ∓
,p ∕
,to √
,ofb ∝
,oor ∞
,lw ∟
,lf ∠
,iv ∣
,ipx ∤
,ppr ∥
,[vc ∧
,ggvl ∨
,cap ∩
